Time_s,EC_true,R_soil_true_Ohm,I_true_A,I_meas_A,I_comp_A,EC_raw,EC_est,Error_raw,Error_comp
0,6.66666666666667e-06,15000,6.66666573294694e-05,6.76301845982712e-05,6.80518242578907e-05,6.76299318684058e-06,6.80514827856004e-06,9.63265201739127e-08,1.38481611893378e-07
0.001,6.66666666666667e-06,15000,6.66666573294694e-05,6.99542301157073e-05,6.80516575692779e-05,6.9953874186444e-06,6.80513159650378e-06,3.28720751977738e-07,1.38464929837112e-07
0.002,6.66666666666667e-06,15000,6.66666573294694e-05,6.26209994986996e-05,6.80521798361899e-05,6.26206791441163e-06,6.80518386481067e-06,-4.04598752255035e-07,1.38517198144004e-07
0.003,6.66666666666667e-06,15000,6.66666573294694e-05,6.82151849462322e-05,6.80534384582901e-05,6.82150567783576e-06,6.80530983061033e-06,1.5483901116909e-07,1.38643163943661e-07
0.004,6.66666666666667e-06,15000,6.66666573294694e-05,6.72425257879086e-05,6.80541454262532e-05,6.72425273721902e-06,6.80538058763831e-06,5.75860705523567e-08,1.3871392097164e-07
0.005,6.66666666666667e-06,15000,6.66666573294694e-05,6.43289932650681e-05,6.80548460461895e-05,6.43286744817562e-06,6.80545071077439e-06,-2.33799218491044e-07,1.38784044107725e-07
0.006,6.66666666666667e-06,15000,6.66666573294694e-05,6.58965750815144e-05,6.80551911281182e-05,6.58962509348791e-06,6.80548524961342e-06,-7.70415731787563e-08,1.38818582946749e-07
0.007,6.66666666666667e-06,15000,6.66666573294694e-05,6.72887512696582e-05,6.80555725702604e-05,6.72885852443418e-06,6.80552342811082e-06,6.21918577675122e-08,1.38856761444152e-07
0.008,6.66666666666667e-06,15000,6.66666573294694e-05,7.30885787448607e-05,6.80559850096999e-05,7.30885021630916e-06,6.80556470960592e-06,6.42183549642495e-07,1.38898042939254e-07
0.009,6.66666666666667e-06,15000,6.66666573294694e-05,7.16400369969893e-05,6.80544718927098e-05,7.16397426258726e-06,6.80541326259459e-06,4.97307595920588e-07,1.38746595927922e-07
0.01,6.66666666666667e-06,15000,6.66666573294694e-05,6.4259151969018e-05,6.80552394654149e-05,6.42589771099278e-06,6.80549008766383e-06,-2.40768955673885e-07,1.38823420997168e-07
0.011,6.66666666666667e-06,15000,6.66666573294694e-05,7.21181147317174e-05,6.80564327985929e-05,7.21179161642615e-06,6.80560952983185e-06,5.45124949759486e-07,1.38942863165187e-07
0.012,6.66666666666667e-06,15000,6.66666573294694e-05,6.7980493198424e-05,6.80559933407659e-05,6.79801698948524e-06,6.80556554347619e-06,1.31350322818569e-07,1.38898876809524e-07
0.013,6.66666666666667e-06,15000,6.66666573294694e-05,6.65686899586012e-05,6.80553945804262e-05,6.65684823575792e-06,6.80550561307676e-06,-9.81843090874654e-09,1.38838946410093e-07
0.014,6.66666666666667e-06,15000,6.66666573294694e-05,6.79636998887877e-05,6.80563241979833e-05,6.79634025929664e-06,6.80559865969144e-06,1.29673592629977e-07,1.38931993024777e-07
0.015,6.66666666666667e-06,15000,6.66666573294694e-05,6.63166901144084e-05,6.80557367229822e-05,6.63166850562705e-06,6.80553985826853e-06,-3.49981610396141e-08,1.38873191601862e-07
0.016,6.66666666666667e-06,15000,6.66666573294694e-05,6.64626829509751e-05,6.8055027615121e-05,6.64623400659666e-06,6.80546888374867e-06,-2.043266007001e-08,1.38802217082004e-07
0.017,6.66666666666667e-06,15000,6.66666573294694e-05,6.93559272019259e-05,6.80560768279456e-05,6.93556277453037e-06,6.80557389985837e-06,2.68896107863706e-07,1.38907233191703e-07
0.018,6.66666666666667e-06,15000,6.66666573294694e-05,6.92125308868742e-05,6.80560983684192e-05,6.92122637077265e-06,6.8055760558865e-06,2.54559704105987e-07,1.3890938921983e-07
0.019,6.66666666666667e-06,15000,6.66666573294694e-05,6.92283064613422e-05,6.80574713214263e-05,6.92280067091841e-06,6.80571348025645e-06,2.56134004251743e-07,1.39046813589782e-07
0.02,6.66666666666667e-06,15000,6.66666573294694e-05,6.78931381786549e-05,6.8057039247396e-05,6.78930404596572e-06,6.80567023163632e-06,1.22637379299054e-07,1.39003564969654e-07
0.021,6.66666666666667e-06,15000,6.66666573294694e-05,6.45270579051283e-05,6.80570897318191e-05,6.45269875693205e-06,6.80567528486616e-06,-2.13967909734613e-07,1.39008618199492e-07
0.022,6.66666666666667e-06,15000,6.66666573294694e-05,6.79774216367355e-05,6.80577487780695e-05,6.79771024718844e-06,6.80574125267817e-06,1.31043580521775e-07,1.39074586011502e-07
0.023,6.66666666666667e-06,15000,6.66666573294694e-05,6.96147148860811e-05,6.80586261460167e-05,6.96143550266139e-06,6.80582907557627e-06,2.94768835994721e-07,1.39162408909604e-07
0.024,6.66666666666667e-06,15000,6.66666573294694e-05,6.75705281097143e-05,6.8059445122446e-05,6.75704710166666e-06,6.80591105563749e-06,9.03804349999961e-08,1.39244388970826e-07
0.025,6.66666666666667e-06,15000,6.66666573294694e-05,6.85497846610951e-05,6.80600677620529e-05,6.85495920054627e-06,6.80597338357952e-06,1.882925338796e-07,1.39306716912854e-07
0.026,6.66666666666667e-06,15000,6.66666573294694e-05,6.79993331937322e-05,6.80603913687091e-05,6.79989905627036e-06,6.80600577794923e-06,1.33232389603693e-07,1.39339111282561e-07
0.027,6.66666666666667e-06,15000,6.66666573294694e-05,6.61540918450443e-05,6.80604672506388e-05,6.61537513939294e-06,6.80601337409004e-06,-5.12915272737222e-08,1.39346707423374e-07
0.028,6.66666666666667e-06,15000,6.66666573294694e-05,6.72256626155475e-05,6.80612945932049e-05,6.72255913462504e-06,6.80609619610247e-06,5.58924679583768e-08,1.39429529435804e-07
0.029,6.66666666666667e-06,15000,6.66666573294694e-05,6.52893344796641e-05,6.80615070226135e-05,6.52890112535663e-06,6.80611746190084e-06,-1.37765541310034e-07,1.39450795234174e-07
0.03,6.66666666666667e-06,15000,6.66666573294694e-05,6.82933928598267e-05,6.80622922449881e-05,6.82930701587269e-06,6.80619606978209e-06,1.62640349206025e-07,1.39529403115424e-07
0.031,6.66666666666667e-06,15000,6.66666573294694e-05,6.46468893045928e-05,6.80635487860938e-05,6.46465556062528e-06,6.80632186472072e-06,-2.02011106041383e-07,1.39655198054056e-07
0.032,6.66666666666667e-06,15000,6.66666573294694e-05,6.47881832290841e-05,6.80624428282542e-05,6.47881095171731e-06,6.80621114474023e-06,-1.87855714949356e-07,1.39544478073562e-07
0.033,6.66666666666667e-06,15000,6.66666573294694e-05,6.52541469321251e-05,6.80642060617908e-05,6.52538085018579e-06,6.80638766780758e-06,-1.41285816480873e-07,1.3972100114091e-07
0.034,6.66666666666667e-06,15000,6.66666573294694e-05,6.14296572848994e-05,6.80642450949706e-05,6.14293506340621e-06,6.80639157565027e-06,-5.2373160326046e-07,1.39724908983599e-07
0.035,6.66666666666667e-06,15000,6.66666573294694e-05,6.92847743297971e-05,6.80656618704439e-05,6.92844167297839e-06,6.806533420467e-06,2.61775006311725e-07,1.39866753800329e-07
0.036,6.66666666666667e-06,15000,6.66666573294694e-05,6.72910369300142e-05,6.80672440035977e-05,6.72908634595743e-06,6.80669182756202e-06,6.24196792907631e-08,1.40025160895355e-07
0.037,6.66666666666667e-06,15000,6.66666573294694e-05,6.53565642766266e-05,6.80666916282347e-05,6.53563758186949e-06,6.80663652153307e-06,-1.31029084797174e-07,1.39969854866405e-07
0.038,6.66666666666667e-06,15000,6.66666573294694e-05,6.91662366075544e-05,6.80673021191744e-05,6.91661063243424e-06,6.80669764637809e-06,2.49943965767571e-07,1.4003097971142e-07
0.039,6.66666666666667e-06,15000,6.66666573294694e-05,6.36446212049463e-05,6.80702340834887e-05,6.36445330679023e-06,6.80699122191172e-06,-3.0221335987644e-07,1.40324555245052e-07
0.04,6.66666666666667e-06,15000,6.66666573294694e-05,6.65296793206547e-05,6.80705670733129e-05,6.65293825336822e-06,6.80702456555102e-06,-1.37284132984419e-08,1.40357898884355e-07
0.041,6.66666666666667e-06,15000,6.66666573294694e-05,6.62813735797969e-05,6.8071394438177e-05,6.62812274797449e-06,6.80710741440854e-06,-3.85439186921809e-08,1.40440747741878e-07
0.042,6.66666666666667e-06,15000,6.66666573294694e-05,6.72872501717355e-05,6.80721119179506e-05,6.72870891198951e-06,6.8071792614654e-06,6.20422453228443e-08,1.40512594798733e-07
0.043,6.66666666666667e-06,15000,6.66666573294694e-05,6.72770300433101e-05,6.8073489466389e-05,6.72769046212947e-06,6.80731721079159e-06,6.10237954627984e-08,1.40650544124927e-07
0.044,6.66666666666667e-06,15000,6.66666573294694e-05,6.51676178964189e-05,6.80747412928241e-05,6.51674033173135e-06,6.80744257501714e-06,-1.49926334935316e-07,1.40775908350476e-07
0.045,6.66666666666667e-06,15000,6.66666573294694e-05,6.66648299406422e-05,6.80745581316512e-05,6.66646848002954e-06,6.80742423204327e-06,-1.981866371259e-10,1.40757565376603e-07
0.046,6.66666666666667e-06,15000,6.66666573294694e-05,6.64243677567248e-05,6.8074732962466e-05,6.64240592071708e-06,6.80744174075773e-06,-2.42607459495859e-08,1.40775074091059e-07
0.047,6.66666666666667e-06,15000,6.66666573294694e-05,6.78458793826004e-05,6.80754579850243e-05,6.78457952987176e-06,6.80751435027455e-06,1.17912863205089e-07,1.40847683607888e-07
0.048,6.66666666666667e-06,15000,6.66666573294694e-05,6.86813400797073e-05,6.80759002856148e-05,6.86809945244005e-06,6.80755864652896e-06,2.01432785773385e-07,1.40891979862297e-07
0.049,6.66666666666667e-06,15000,6.66666573294694e-05,6.87111826159673e-05,6.80781658062993e-05,6.87108725069301e-06,6.80778554669741e-06,2.04420584026346e-07,1.41118880030747e-07
0.05,6.66666666666667e-06,15000,6.66666573294694e-05,6.51767531998187e-05,6.8078956638245e-05,6.51765147397599e-06,6.80786475496578e-06,-1.4901519269068e-07,1.41198088299117e-07
0.051,6.66666666666667e-06,15000,6.66666573294694e-05,6.68642511520217e-05,6.80797463734171e-05,6.68640095290138e-06,6.8079438552227e-06,1.97342862347112e-08,1.41277188556029e-07
0.052,6.66666666666667e-06,15000,6.66666573294694e-05,6.45510152741141e-05,6.807964034528e-05,6.45508568983411e-06,6.80793323528636e-06,-2.11580976832556e-07,1.41266568619697e-07
0.053,6.66666666666667e-06,15000,6.66666573294694e-05,6.47324808978892e-05,6.80792049253308e-05,6.47322307341645e-06,6.80788962332232e-06,-1.93443593250218e-07,1.41222956655652e-07
0.054,6.66666666666667e-06,15000,6.66666573294694e-05,6.67168133671866e-05,6.80802448114529e-05,6.67165284728811e-06,6.80799377996367e-06,4.98618062144288e-09,1.41327113297008e-07
0.055,6.66666666666667e-06,15000,6.66666573294694e-05,6.94767963488274e-05,6.80805888354523e-05,6.94767006291468e-06,6.80802823865405e-06,2.81003396248012e-07,1.41361571987384e-07
0.056,6.66666666666667e-06,15000,6.66666573294694e-05,6.53521186708681e-05,6.8081526340525e-05,6.53519170094071e-06,6.80812214432981e-06,-1.31474965725962e-07,1.41455477663143e-07
0.057,6.66666666666667e-06,15000,6.66666573294694e-05,6.73980857138736e-05,6.80814257415605e-05,6.73977366337647e-06,6.80811206765894e-06,7.31069967098032e-08,1.41445400992269e-07
0.058,6.66666666666667e-06,15000,6.66666573294694e-05,6.63294528020009e-05,6.80825357152462e-05,6.63294189634249e-06,6.80822325176181e-06,-3.37247703241765e-08,1.41556585095143e-07
0.059,6.66666666666667e-06,15000,6.66666573294694e-05,6.87372275535937e-05,6.80817477309351e-05,6.87369696320004e-06,6.80814432039173e-06,2.07030296533376e-07,1.41477653725064e-07
0.06,6.66666666666667e-06,15000,6.66666573294694e-05,6.47843642109662e-05,6.80833268627357e-05,6.47842753210992e-06,6.80830250182464e-06,-1.88239134556744e-07,1.41635835157977e-07
0.061,6.66666666666667e-06,15000,6.66666573294694e-05,6.67955242672497e-05,6.80844011289042e-05,6.67951814269222e-06,6.80841011513212e-06,1.28514760255534e-08,1.41743448465455e-07
0.062,6.66666666666667e-06,15000,6.66666573294694e-05,6.77284925124184e-05,6.80849598148954e-05,6.77281460409344e-06,6.80846608216677e-06,1.06147937426777e-07,1.41799415500105e-07
0.063,6.66666666666667e-06,15000,6.66666573294694e-05,6.87118418443174e-05,6.80846295142266e-05,6.87115328117635e-06,6.80843299379264e-06,2.04486614509685e-07,1.41766327125976e-07
0.064,6.66666666666667e-06,15000,6.66666573294694e-05,6.95079548933137e-05,6.80848334613372e-05,6.95077518762937e-06,6.80845342446806e-06,2.84108520962701e-07,1.41786757801392e-07
0.065,6.66666666666667e-06,15000,6.66666573294694e-05,6.68957964261781e-05,6.80854929664227e-05,6.68956487788458e-06,6.80851949211411e-06,2.28982112179126e-08,1.41852825447446e-07
0.066,6.66666666666667e-06,15000,6.66666573294694e-05,6.40699524951224e-05,6.80868181746569e-05,6.40696202748966e-06,6.80865225219029e-06,-2.59704639177008e-07,1.41985585523627e-07
0.067,6.66666666666667e-06,15000,6.66666573294694e-05,6.54138720396168e-05,6.80865779637983e-05,6.54138545719101e-06,6.80862818735264e-06,-1.25281209475655e-07,1.41961520685978e-07
0.068,6.66666666666667e-06,15000,6.66666573294694e-05,6.48428618982241e-05,6.80879633021863e-05,6.48427257288216e-06,6.80876697585422e-06,-1.82394093784503e-07,1.42100309187549e-07
0.069,6.66666666666667e-06,15000,6.66666573294694e-05,7.09585677474933e-05,6.80903753742724e-05,7.09582356995435e-06,6.80900863997006e-06,4.29156903287681e-07,1.42341973303397e-07
0.07,6.66666666666667e-06,15000,6.66666573294694e-05,6.56443926187057e-05,6.80905102746009e-05,6.56441626649537e-06,6.80902215606297e-06,-1.02250400171292e-07,1.42355489396308e-07
0.071,6.66666666666667e-06,15000,6.66666573294694e-05,6.80893310708599e-05,6.80913173917219e-05,6.80890400970567e-06,6.80910302481502e-06,1.42237343039006e-07,1.42436358148354e-07
0.072,6.66666666666667e-06,15000,6.66666573294694e-05,6.64050708365633e-05,6.8091339603333e-05,6.64047962720929e-06,6.80910525032498e-06,-2.61870394573749e-08,1.42438583658308e-07
0.073,6.66666666666667e-06,15000,6.66666573294694e-05,6.83434863671762e-05,6.80906240724216e-05,6.83431328825464e-06,6.80903355787024e-06,1.67646621587972e-07,1.42366891203575e-07
0.074,6.66666666666667e-06,15000,6.66666573294694e-05,6.53815571657286e-05,6.80921285694516e-05,6.53814542667727e-06,6.80918430235346e-06,-1.28521239989392e-07,1.42517635686797e-07
